name,username,description,possition,verified
U.S. Right To Know,USRightToKnow,"Investigative public health group working globally to expose corporate wrongdoing and government failures threatening our food, environment and health.",anti,FALSE
Innovative Genomics Institute,igisci,The Innovative Genomics Institute (IGI) is dedicated to advancing genome research for a better world. Partnership between @UCBerkeley and @UCSF,pro,FALSE
"Cami Ryan, PhD",CamiDRyan,Information ℹ️ wrangler 🌾 | Social & behavioral 🧠 sciences 👥 @Bayer4Crops | @GenomeCanada | @agbiousask | artist 🎨 | more interesting on IG and TikTok,pro,FALSE
National Milk Producers Federation,nmpf,Representing farmer-owned #dairy cooperatives on Capitol Hill since 1916,pro,FALSE
Patrick Hsu,pdhsu,"Assistant Professor @BerkeleyBioE, Cofounder @ArcInstitute | CRISPR & biotech to improve human health | 🇨🇦 to @harvard @broadinstitute @editasmed, Fast Grants",pro,FALSE
NPPC,NPPC,The National Pork Producers Council is the global voice of the U.S. pork industry. #TeamPork #PorkPriorities,pro,FALSE
"Dr Gaetan Burgio, MD, PhD.",GaetanBurgio,"Group leader, Australian National University ANU, Australia. Geneticist working on infections & #CRISPR. Opinions and views ....",pro,FALSE
The CRISPR Journal,CRISPRjournal,Cutting-edge peer-reviewed research and analysis on genome editing for the global CRISPR community. EIC @crisprchef; Exc Ed @kevinadavies; Publisher @liebertpub,pro,FALSE
Genetic Literacy Project,GeneticLiteracy,"The Genetic Literacy Project fosters dialogue about the scientific, social and ethical implications of human and agricultural genetics.",pro,FALSE
Paul Knoepfler,pknoepfler,Prof @UCDAVIS #Stemcells & Kids Brain Cancer Epigenomics #CRISPR TED talk https://t.co/QmSyU0534S Reedie. Author of The Niche https://t.co/oXW4Pis1Cl YouTube channel https://t.co/s96VUCXf6G,pro,TRUE
Channa Prakash,AgBioWorld,"Professor, biotech guru. I am curious about science, farming, food security, innovation, plants, history. Come for the dog/cat videos, but stay for science.",pro,FALSE
Joel Salatin,JoelSalatin,"OFFICIAL TWITTER: Healing the earth with good food. Author of 8 books. Featured in National Geographic, Smithsonian, Ominvore’s Dillemma, Food Inc.",anti,FALSE
SynBioBeta,SynBioBeta,The leading community of innovators in #synbio. | Our Twitter Spaces show #BuiltWithBioSpaces goes LIVE every Weds 8am PDT: https://t.co/wo5hj5uBAk,pro,FALSE
Non-GMO Report,nongmoreport,Monthly news magazine focusing on the risks of genetically modified foods and the non-GMO food trend.,anti,FALSE
CRISPR News,CRISPR_News,The latest CRISPR breakthroughs.  Also at https://t.co/oSD5xoDl5y  #biotechnology #cas9 #genetics #raredisease #genomics #germline,pro,FALSE
GMWatch,GMWatch,Countering the propaganda of the biotech industry. Subscribe to free email newsletters: https://t.co/4GoxRVvA0L,anti,FALSE
Doudna Lab,doudna_lab,News from Jennifer Doudna's lab at @UCBerkeley. Tweets from lab members and not Jennifer Doudna unless signed JD. Tweets represent personal views only.,pro,FALSE
Rachel Parent,RachelsNews,Food Climate #Youth Speaker @SXSW Debated TV Host @CBC https://t.co/dnOzBSYKwB @TEDx https://t.co/3OkImzLnch  Organic Ⓥ🌱@GenEarthEvent,anti,FALSE
Center 4 Food Safety,CFSTrueFood,"Protecting our food, farms & environment! Get the latest: https://t.co/3G9qZWDnR5",anti,FALSE
Kevin Faulconer,Kevin_Faulconer,"Candidate for California Governor. #CaliforniaComeback Husband, father, former Mayor of San Diego, and visiting professor at @PepperdineSPP",pro,TRUE
GMO Free USA,GMOFreeUSA,"We are a national group, educating consumers about the potential hazards of Genetically Engineered foods.",anti,FALSE
Cargill,Cargill,Official Twitter account for Cargill Inc.,pro,TRUE
Tyson Foods,TysonFoods,"Tyson Foods, Inc. founded in 1935.",pro,TRUE
Organic Trade,OrganicTrade,The Organic Trade Association (OTA) is the membership-based business association for organic agriculture and products in North America.,anti,FALSE
Organic Valley,OrganicValley,We’re a cooperative of family farmers on a mission to produce the world’s best organic foods for you and your family.,anti,TRUE
Non-GMO Project,NonGMOProject,"A nonprofit organization committed to preserving and building sources of #nonGMO products, educating consumers and providing verified non-GMO choices.",anti,FALSE
Organic Consumers Association,OrganicConsumer,"Want to take action on the issues you care about—pesticides, factory farms and GMOs? Subscribe to our newsletter, #OrganicBytes 👉 https://t.co/cauFyafpsi",anti,FALSE
